obec,kraj,odberatelu,mist,lokalit,vykon,teplo_mnozstvi,teplo_cena,uhli,pod_uhli,plyn,pod_plyn,biomasa,pod_biomasa,olej,pod_olej,ostatni,pod_ostatni
Pohled,J,2,2,1,0.7190000000000001,189.0,239.0,0.0,0.0,0.0,0.0,189.0,1.0,0.0,0.0,0.0,0.0
Pohořelice,B,5,9,3,0.708,3084.0,600.3456225680934,0.0,0.0,3084.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Polepy,U,1,1,1,0.11,468.0,494.21,0.0,0.0,468.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Police nad Metují,H,30,31,4,3.945,9635.0,573.2164826154644,0.0,0.0,9635.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Polička,E,49,56,4,14.825,41685.0,459.8536245651913,0.0,0.0,41685.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Polná,J,1,1,1,0.13,489.0,589.09,0.0,0.0,489.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Postoloprty,U,21,32,3,10.363,38678.0,496.6640953513626,0.0,0.0,38263.067200000005,0.9892721236878848,414.9328,0.010727876312115414,0.0,0.0,0.0,0.0
Postřelmov,M,9,13,1,4.125,4422.0,616.4,0.0,0.0,4422.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Počerady,U,23,60,1,2435.0,69263.0,344.44,69207.5896,0.9992000000000001,55.4104,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
Poříčí,H,2263,2875,2,558.98,2109944.0,284.61924283298515,1493304.9184,0.7077462332649588,1436.1336,0.0006806501025619637,612539.806,0.29031093052706614,2742.9272,0.0013,0.0,0.0
Prachatice,C,115,293,3,36.436,98320.0,652.5805945890968,0.0,0.0,98320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Praha,A,8349,15206,609,2484.5169999999953,14426072.0,594.29779404054,8411476.024899997,0.5830745905676886,4409069.010200005,0.30563198424352833,72486.3249,0.005024675109066418,19866.338200000006,0.001377113478984439,1513055.803,0.10488342238968446
Praha  – Chodov Hvožďanská,A,1,1,1,0.46,1137.0,451.59,0.0,0.0,1137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pražmo,T,1,8,1,0.92,4203.0,596.7230549607423,0.0,0.0,4203.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Proboštov,U,1,1,1,0.205,77.0,420.42,0.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Prostějov,M,163,221,9,61.032999999999994,246397.0,392.46370873022,0.0,0.0,246397.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Protivín,C,19,29,2,5.783,9728.0,618.7048694490132,0.0,0.0,9728.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Prunéřov,U,51,159,1,2658.66,860589.0,242.7299751216899,859125.9987,0.9983,1118.7657000000002,0.0013000000000000002,0.0,0.0,344.2356,0.00039999999999999996,0.0,0.0
Písek,C,448,674,2,67.59700000000001,329364.0,555.1809780060966,310521.75800000003,0.942792041631751,10670.627199999999,0.03239767309116964,5276.2312,0.016019453249292576,2830.3188,0.008593285240645608,65.0648,0.00019754678714127837
Přelouč,E,31,32,2,6.332000000000001,15535.0,556.0372700354039,0.0,0.0,15535.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Přerov,M,498,905,8,238.836,1139327.0,434.2077764855919,1038966.7463000001,0.9119126873145288,94655.2239,0.08307994447599328,0.0,0.0,2696.4650999999994,0.0023667174568846342,3008.5647000000004,0.0026406507525934173
Přestanov,U,1,1,1,0.11699999999999999,1103.0,466.56,0.0,0.0,1103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Přeštice,P,16,36,2,5.827999999999999,46823.0,426.57047711594737,0.0,0.0,5750.332,0.12280998654507401,41072.668000000005,0.8771900134549261,0.0,0.0,0.0,0.0
Přimda,P,5,9,1,1.24,5855.0,631.0156276686592,0.0,0.0,5855.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Příbor,T,47,88,3,16.903,25092.0,523.0121030607364,0.0,0.0,25092.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Příbram,S,360,466,12,225.28000000000003,1081417.0,457.8147158774089,1003612.7688000001,0.9280534417343171,71956.34459999998,0.06653894344179903,0.0,0.0,5853.8861,0.00541316263753945,0.0,0.0
Příkazy,M,1,3,1,1.177,952.0,218.0,0.0,0.0,0.0,0.0,952.0,1.0,0.0,0.0,0.0,0.0
Příšovice,L,24,27,5,3.3609999999999998,9113.0,514.1320476242731,0.0,0.0,9113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pšov,K,12,13,1,0.63,998.0,260.0,0.0,0.0,0.0,0.0,998.0,1.0,0.0,0.0,0.0,0.0
Radonice,U,9,12,1,0.81,4220.0,661.0,4220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radslavice,B,1,1,1,0.025,29.0,307.05,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajhrad,B,4,4,2,1.285,3693.0,669.3086217167615,2884.0910000000003,0.7809615488762525,214.0,0.05794746818304901,594.909,0.16109098294069862,0.0,0.0,0.0,0.0
Rakovník,S,104,133,4,25.580000000000002,77334.0,590.621298781907,0.0,0.0,77334.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ralsko,L,3,26,1,0.9,6579.0,651.72,6579.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapotin,M,2,19,1,0.91,8224.0,506.0,0.0,0.0,2549.44,0.31,5674.56,0.6900000000000001,0.0,0.0,0.0,0.0
Rapotín,M,1,1,1,0.5710000000000001,6427.0,138.0,0.0,0.0,0.0,0.0,6427.0,1.0,0.0,0.0,0.0,0.0
Raspenava,L,2,2,1,0.6,2220.0,543.09,0.0,0.0,2220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ratíškovice,B,2,2,1,0.221,94.0,550.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Razová,T,4,2,1,0.28600000000000003,1450.0,502.8,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Račice,U,114,114,1,2.7,7330.0,322.0,0.0,0.0,0.0,0.0,7330.0,1.0,0.0,0.0,0.0,0.0
Rokycany,P,48,66,11,27.462000000000003,72056.0,453.8119097646276,0.0,0.0,72056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rokytnice nad Jizerou,L,2,2,1,0.319,810.0,350.22,0.0,0.0,810.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rokytnice v Orlických horách,H,34,60,5,10.690000000000001,20696.0,575.2258687669114,0.0,0.0,0.0,0.0,20696.0,1.0,0.0,0.0,0.0,0.0
Rosice,B,22,24,17,4.498999999999999,11123.0,560.1129677245349,0.0,0.0,11123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Roudnice nad Labem,U,78,82,17,30.796999999999993,84766.0,557.5588677063917,0.0,0.0,84311.4004,0.9946370054031097,0.0,0.0,454.5996,0.005362994596890262,0.0,0.0
Rousínov,B,4,5,2,0.63,2409.0,491.52685761726866,0.0,0.0,2409.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rovná,K,2,3,1,2.0,3417.0,563.5,0.0,0.0,3417.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Roztoky,S,1,1,1,0.91,3510.0,571.76,0.0,0.0,3510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Roztoky u Křivoklátu,S,17,17,1,1.8,6156.0,572.17,4554.2088,0.7398,0.0,0.0,1601.7912,0.2602,0.0,0.0,0.0,0.0
Roztoky u Prahy,S,22,24,3,3.3560000000000003,13273.0,612.4960566563701,0.0,0.0,13273.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Roštin,Z,197,197,1,4.0,11011.0,386.15,0.0,0.0,0.0,0.0,11011.0,1.0,0.0,0.0,0.0,0.0
Rožmitál pod Třemšínem,S,17,27,2,2.4290000000000003,14007.0,483.03068537159993,0.0,0.0,14007.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rožnov pod Radhoštěm,Z,206,238,21,71.09700000000002,209419.0,563.9369271651569,0.0,0.0,209419.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rudice,B,6,6,6,0.30800000000000005,744.0,380.61182795698926,0.0,0.0,744.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rudná pod Pradědem,T,4,4,1,0.51,2707.0,431.41,2707.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumburk,U,22,59,3,18.06,52446.0,603.77423254395,0.0,0.0,52446.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rusín,T,2,2,1,0.58,603.0,184.0,0.0,0.0,0.0,0.0,603.0,1.0,0.0,0.0,0.0,0.0
Rybí,T,1,1,1,0.024,22.0,488.44,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rychnov nad Kněžnou,H,111,166,2,30.625,115139.0,556.1045701282798,103832.35020000002,0.9018000000000002,11306.6498,0.0982,0.0,0.0,0.0,0.0,0.0,0.0
